Id da Instalação;Id do Equipamento;Nome;Tipo do Equipamento;Id Tipo de Rede;Tipo de Rede;Agente Proprietário;Data Prevista;Data Entrada;Data de Necessidade do SIN
ACCS  ;ACCS--0BC1---------1;BC   69 kV  5P0 Mvar CRUZEIRO SUL              1 AC                     ;BCP;SUP;SUPERVISAO     ;TRANSMISSORA ACRE SPE S.A.                                     ;20/03/2025;;30/12/2024
ACCS  ;ACCS--0BC2---------1;BC   69 kV  5P0 Mvar CRUZEIRO SUL              2 AC                     ;BCP;SUP;SUPERVISAO     ;TRANSMISSORA ACRE SPE S.A.                                     ;20/03/2025;;30/12/2024
ACCS  ;ACCS--0BC3---------1;BC   69 kV  5P0 Mvar CRUZEIRO SUL              3 AC                     ;BCP;SUP;SUPERVISAO     ;TRANSMISSORA ACRE SPE S.A.                                     ;20/03/2025;;30/12/2024
ACFJ  ;ACFJ--0BC1          ;BC   69 kV  3P6 Mvar FEIJO                     1 AC                     ;BCP;SUP;SUPERVISAO     ;TRANSMISSORA ACRE SPE S.A.                                     ;31/05/2023;05/06/2023;30/06/2014
ACRB  ;ACRB--2BC1          ;BC  230 kV 18P5 Mvar RIO BRANCO I              1 AC                     ;BCP;BAS;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;31/10/2011;27/10/2011;
ACRB  ;ACRB--2BC2A         ;BC  230 kV   30 Mvar RIO BRANCO I            604 AC                     ;BCP;BAS;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;16/11/2018;04/10/2018;31/12/2016
ACRB  ;ACRB--2BC2B         ;BC  230 kV   30 Mvar RIO BRANCO I            605 AC                     ;BCP;BAS;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;16/11/2018;04/10/2018;31/12/2016
ACRB  ;ACRB--2BC3A         ;BC  230 kV   30 Mvar RIO BRANCO I            602 AC                     ;BCP;BAS;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;16/11/2018;03/10/2018;31/12/2016
ACRB  ;ACRB--2BC3B         ;BC  230 kV   30 Mvar RIO BRANCO I            603 AC                     ;BCP;BAS;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;16/11/2018;03/10/2018;31/12/2016
ALART ;ALART-2BC1          ;BC  230 kV   30 Mvar ARAPIRACA III            H1 AL                     ;BCP;BAS;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;14/06/2013;14/06/2013;31/12/2012
ALART ;ALART-2BC2          ;BC  230 kV   30 Mvar ARAPIRACA III            H2 AL                     ;BCP;BAS;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;14/06/2013;14/06/2013;31/12/2012
ALPEN ;ALPEN-2BC1          ;BC  230 kV   15 Mvar PENEDO                   H1 AL                     ;BCP;BAS;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/11/2017;23/11/2017;31/12/2012
ALPEN ;ALPEN-2BC2          ;BC  230 kV   15 Mvar PENEDO                   H2 AL                     ;BCP;BAS;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/11/2017;24/11/2017;31/12/2012
ALRLD ;ALRLD-0BC1          ;BC   69 kV 21P3 Mvar RIO LARGO II             H1 AL                     ;BCP;SUP;SUPERVISAO     ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;31/12/1990;
ALRLD ;ALRLD-0BC2          ;BC   69 kV 27P1 Mvar RIO LARGO II             H2 AL                     ;BCP;SUP;SUPERVISAO     ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;31/12/1990;
ALRLD ;ALRLD-0BC3          ;BC   69 kV 21P3 Mvar RIO LARGO II             H3 AL                     ;BCP;SUP;SUPERVISAO     ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;31/12/1990;
ALRLD ;ALRLD-0BC4          ;BC   69 kV 21P3 Mvar RIO LARGO II             H4 AL                     ;BCP;SUP;SUPERVISAO     ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;31/12/1990;
AMCRR ;AMCRR-2BC1          ;BC  230 kV   55 Mvar LECHUGA                   1 AM                     ;BCP;BAS;BASICA         ;MANAUS TRANSMISSORA DE ENERGIA S.A                             ;10/06/2013;03/07/2013;30/11/2010
AMCRR ;AMCRR-2BC2          ;BC  230 kV   55 Mvar LECHUGA                   2 AM                     ;BCP;BAS;BASICA         ;MANAUS TRANSMISSORA DE ENERGIA S.A                             ;10/06/2013;03/07/2013;30/11/2010
AMCRR ;AMCRR-2BC3          ;BC  230 kV   55 Mvar LECHUGA                   3 AM                     ;BCP;BAS;BASICA         ;MANAUS TRANSMISSORA DE ENERGIA S.A                             ;10/06/2013;03/07/2013;30/11/2010
AMCRR ;AMCRR-2BC4          ;BC  230 kV   55 Mvar LECHUGA                   4 AM                     ;BCP;BAS;BASICA         ;MANAUS TRANSMISSORA DE ENERGIA S.A                             ;10/06/2013;03/07/2013;30/11/2010
AMCRR ;AMCRR-2BC5          ;BC  230 kV   55 Mvar LECHUGA                   5 AM                     ;BCP;BAS;BASICA         ;MANAUS TRANSMISSORA DE ENERGIA S.A                             ;21/06/2013;03/07/2013;31/12/2012
AMCRR ;AMCRR-2BC6          ;BC  230 kV   55 Mvar LECHUGA                   6 AM                     ;BCP;BAS;BASICA         ;MANAUS TRANSMISSORA DE ENERGIA S.A                             ;21/06/2013;03/07/2013;31/12/2012
AMITR ;AMITR-5BC1          ;BC  500 kV  100 Mvar SILVES                    1 AM                     ;BCP;BAS;BASICA         ;MANAUS TRANSMISSORA DE ENERGIA S.A                             ;09/09/9999;;30/11/2010
AMMN  ;AMMN--001           ;BC   69 kV 10P1 Mvar MANAUS                    1 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;31/05/2013;31/12/1990;
AMMN  ;AMMN--002           ;BC   69 kV  9P9 Mvar MANAUS                    2 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;31/05/2013;31/12/1990;
AMRE  ;AMRE--001           ;BC 13P8 kV  3P6 Mvar REDENCAO                201 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMRE  ;AMRE--002           ;BC 13P8 kV  3P6 Mvar REDENCAO                202 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMRE  ;AMRE--003           ;BC 13P8 kV  3P6 Mvar REDENCAO                203 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMRE  ;AMRE--0204          ;BC 13P8 kV  3P6 Mvar REDENCAO                204 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMRE  ;AMRE--0205          ;BC 13P8 kV  3P6 Mvar REDENCAO                205 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMRE  ;AMRE--0206          ;BC 13P8 kV  3P8 Mvar REDENCAO                206 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMRE  ;AMRE--0207          ;BC 13P8 kV  3P6 Mvar REDENCAO                207 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMRE  ;AMRE--0208          ;BC 13P8 kV  3P6 Mvar REDENCAO                208 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMRE  ;AMRE--0209          ;BC 13P8 kV  3P6 Mvar REDENCAO                209 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMSG  ;AMSG--0BC01         ;BC 13P8 kV  3P6 Mvar SERINGAL MIRIM           01 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMSG  ;AMSG--0BC02         ;BC 13P8 kV  3P6 Mvar SERINGAL MIRIM           02 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMSG  ;AMSG--0BC03         ;BC 13P8 kV  3P6 Mvar SERINGAL MIRIM           03 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMSG  ;AMSG--0BC04         ;BC 13P8 kV  3P6 Mvar SERINGAL MIRIM           04 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMSG  ;AMSG--0BC05         ;BC 13P8 kV  3P6 Mvar SERINGAL MIRIM           05 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMSG  ;AMSG--0BC06         ;BC 13P8 kV  3P6 Mvar SERINGAL MIRIM           06 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMSG  ;AMSG--0BC07         ;BC 13P8 kV  3P6 Mvar SERINGAL MIRIM           07 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMSG  ;AMSG--0BC08         ;BC 13P8 kV  3P6 Mvar SERINGAL MIRIM           08 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMSG  ;AMSG--0BC09         ;BC 13P8 kV  3P6 Mvar SERINGAL MIRIM           09 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMSG  ;AMSG--0BC10         ;BC 13P8 kV  3P6 Mvar SERINGAL MIRIM           10 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMSG  ;AMSG--0BC11         ;BC 13P8 kV  3P6 Mvar SERINGAL MIRIM           11 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
AMSG  ;AMSG--0BC12         ;BC 13P8 kV  3P6 Mvar SERINGAL MIRIM           12 AM                     ;BCP;SUP;SUPERVISAO     ;Amazonas Energia S.A.                                          ;30/04/2014;;
APMCP ;APMCP-2BC1          ;BC  230 kV   30 Mvar MACAPA                    1 AP                     ;BCP;BAS;BASICA         ;;09/09/9999;;30/11/2010
APMCP ;APMCP-2BC2          ;BC  230 kV   30 Mvar MACAPA                    2 AP                     ;BCP;BAS;BASICA         ;;09/09/9999;;30/11/2010
APST  ;APST--0BC01         ;BC   69 kV 10P2 Mvar SE SANTANA             02H1 AP                     ;BCP;SUP;SUPERVISAO     ;Companhia de Eletricidade do Amapa S.A.                        ;14/07/2014;01/10/1975;
BAABS ;BAABS-1BC1          ;BC  138 kV  7P2 Mvar AGUAS BELAS              H1 BA                     ;BCP;SIM;SIMULACAO      ;Companhia de Eletricidade do Estado da Bahia                   ;30/11/2016;;
BAABS ;BAABS-1BCH2         ;BC  138 kV  7P2 Mvar AGUAS BELAS              H2 BA                     ;BCP;SIM;SIMULACAO      ;Companhia de Eletricidade do Estado da Bahia                   ;30/11/2016;;
BAALG ;BAALG-0BC1          ;BC   69 kV 33P1 Mvar ALAGOINHAS II            H1 BA                     ;BCP;SUP;SUPERVISAO     ;BRE 2 IMPLANTAÇÃO DE SISTEMAS DE TRANSMISSÃO ELÉTRICA SOCIEDADE;21/03/2023;;
BABAB ;BABAB-0BCH2         ;BC 34P5 kV  5P0 Mvar BABILONIA                H2 BA                     ;BCP;SUP;SUPERVISAO     ;CENTRAL EOLICA BABILONIA III S.A.                              ;31/08/2018;;
BABAB ;BABAB-0BCH3         ;BC 34P5 kV  5P0 Mvar BABILONIA                H3 BA                     ;BCP;SUP;SUPERVISAO     ;CENTRAL EOLICA BABILONIA III S.A.                              ;31/08/2018;;
BABAB ;BABAB-0H1           ;BC 34P5 kV  5P0 Mvar BABILONIA                H1 BA                     ;BCP;SUP;SUPERVISAO     ;CENTRAL EOLICA BABILONIA III S.A.                              ;31/08/2018;;
BAEBMC;BABMC-0BC1          ;BC 34P5 kV 4P59 Mvar EOL B MACAUBAS            1 BA                     ;BCP;SIM;SIMULACAO      ;MACAÚBAS ENERGÉTICA S.A.                                       ;31/07/2012;17/06/2012;
BABW1 ;BABW1-0BCH2         ;BC 34P5 kV  4P5 Mvar BW GUIRAPA I             H2 BA                     ;BCP;SUP;SUPERVISAO     ;Central Eólica Angical                                         ;30/11/2015;;
BABW1 ;BABW1-0H1           ;BC 34P5 kV  4P5 Mvar BW GUIRAPA I             H1 BA                     ;BCP;SUP;SUPERVISAO     ;Central Eólica Angical                                         ;30/11/2015;;
BABW2 ;BABW2-0H1           ;BC 34P5 kV  4P5 Mvar BW GUIRAPA II            H1 BA                     ;BCP;SUP;SUPERVISAO     ;Central Eólica Tamanduá Mirim SA                               ;30/11/2015;;
BABW2 ;BABW2-0H2           ;BC 34P5 kV  4P5 Mvar BW GUIRAPA II            H2 BA                     ;BCP;SUP;SUPERVISAO     ;Central Eólica Tamanduá Mirim SA                               ;30/11/2015;;
BACTT ;BACAE-0BC1          ;BC 34P5 kV   12 Mvar CAETITE 123              H1 BA                     ;BCP;SUP;SUPERVISAO     ;Caetité 2 Energia Renovável S.A.                               ;31/10/2014;05/11/2014;
BACFO ;BACFO-0BC1          ;BC 34P5 kV  9P5 Mvar CAMPO FORMOSO            H1 BA                     ;BCP;SUP;SUPERVISAO     ;Campo Formoso I Energias Renováveis SA                         ;30/11/2015;14/11/2015;
BACLA ;BACLA-0BC1          ;BC 34P5 kV   25 Mvar CAMPO LARGO               1 BA                     ;BCP;SUP;SUPERVISAO     ;CLWP EOLICA PARQUE I S.A.                                      ;11/12/2023;;
BACLA ;BACLA-0BC2          ;BC 34P5 kV   25 Mvar CAMPO LARGO               2 BA                     ;BCP;SUP;SUPERVISAO     ;CLWP EOLICA PARQUE I S.A.                                      ;11/12/2023;;
BACMD ;BACMD-0BC1          ;BC   69 kV 24P4 Mvar CAMACARI II              H1 BA                     ;BCP;SUP;SUPERVISAO     ;MEZ 1 ENERGIA S.A.                                             ;15/09/2023;;30/12/2019
BACMD ;BACMD-2BC1          ;BC  230 kV  100 Mvar CAMACARI II               1 BA                     ;BCP;BAS;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;06/07/2024;;30/10/2022
BACMU ;BACMU-0BC1          ;BC 13P8 kV  3P6 Mvar CAMACARI I               H1 BA                     ;BCP;SUP;SUPERVISAO     ;Companhia de Eletricidade do Estado da Bahia                   ;;31/12/1990;
BACMU ;BACMU-0BCH2         ;BC 13P8 kV  3P6 Mvar CAMACARI I               H2 BA                     ;BCP;SUP;SUPERVISAO     ;Companhia de Eletricidade do Estado da Bahia                   ;;31/12/1990;
BACMU ;BACMU-0BCH3         ;BC 13P8 kV  3P6 Mvar CAMACARI I               H3 BA                     ;BCP;SUP;SUPERVISAO     ;Companhia de Eletricidade do Estado da Bahia                   ;;31/12/1990;
BACMU ;BACMU-0BCH4         ;BC 13P8 kV  3P6 Mvar CAMACARI I               H4 BA                     ;BCP;SUP;SUPERVISAO     ;Companhia de Eletricidade do Estado da Bahia                   ;;31/12/1990;
BACRL ;BACRL-0BC1          ;BC 34P5 kV   24 Mvar CRISTALANDIA             H1 BA                     ;BCP;COM;COMPLEMENTAR   ;ENEL GREEN POWER CRISTALANDIA I EOLICA S.A.                    ;30/09/2017;01/09/2017;
BACTA ;BACTA-0BC1          ;BC 34P5 kV 0P05 Mvar CAETITE A                 1 BA                     ;BCP;SUP;SUPERVISAO     ;EOLICA CAETITE A S.A.                                          ;31/10/2015;;
BACTE ;BACTE-0H1           ;BC 34P5 kV  9P3 Mvar CAETITE                  H1 BA                     ;BCP;SUP;SUPERVISAO     ;Centrais Eólicas Caetité Ltda                                  ;29/02/2024;;
BACTG ;BACTG-0BC1          ;BC   69 kV 20P3 Mvar COTEGIPE                 H1 BA                     ;BCP;SUP;SUPERVISAO     ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;31/12/1990;
BACTG ;BACTG-0BC2          ;BC   69 kV 27P1 Mvar COTEGIPE                 H2 BA                     ;BCP;SUP;SUPERVISAO     ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;31/12/1990;
BADFN ;BADFN-0BC1          ;BC 34P5 kV 17P5 Mvar DELFINA                  H1 BA                     ;BCP;SUP;SUPERVISAO     ;ENEL GREEN POWER DELFINA A EÓLICA S.A.                         ;30/09/2017;;
BADFN ;BADFN-0BCH2         ;BC 34P5 kV 17P5 Mvar DELFINA                  H2 BA                     ;BCP;SUP;SUPERVISAO     ;ENEL GREEN POWER DELFINA A EÓLICA S.A.                         ;30/09/2017;;
BADFN ;BADFN-0BCH3         ;BC 34P5 kV 17P5 Mvar DELFINA                  H3 BA                     ;BCP;SUP;SUPERVISAO     ;ENEL GREEN POWER DELFINA A EÓLICA S.A.                         ;30/09/2017;;
BADFN ;BADFN-0BCH4         ;BC 34P5 kV 17P5 Mvar DELFINA                  H4 BA                     ;BCP;SUP;SUPERVISAO     ;ENEL GREEN POWER DELFINA A EÓLICA S.A.                         ;30/09/2017;;
BAEMCR;BAEMCR0BCH2         ;BC 34P5 kV  6P0 Mvar MORRO CRUZEIRO           H2 BA                     ;BCP;SUP;SUPERVISAO     ;MORRO DO CRUZEIRO I S.A.                                       ;31/01/2024;;
BAENP ;BAENP-2BC1          ;BC  230 kV   20 Mvar EUNAPOLIS                H1 BA                     ;BCP;BAS;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;07/07/2021;;31/01/2023
BAFFUT;BAFFUT0BCH1         ;BC 34P5 kV  9P5 Mvar COMPLEXO_FUTURA          H1 BA                     ;BCP;SUP;SUPERVISAO     ;SPE FUTURA 1 GERAÇÃO E COMERCIALIZAÇÃO DE ENERGIA SOLAR S.A.   ;15/10/2022;;
BAFFUT;BAFFUT0BCH2         ;BC 34P5 kV  9P5 Mvar COMPLEXO_FUTURA          H2 BA                     ;BCP;SUP;SUPERVISAO     ;SPE FUTURA 1 GERAÇÃO E COMERCIALIZAÇÃO DE ENERGIA SOLAR S.A.   ;15/10/2022;;
BAFFUT;BAFFUT0BCH3         ;BC 34P5 kV  9P5 Mvar COMPLEXO_FUTURA          H3 BA                     ;BCP;SUP;SUPERVISAO     ;SPE FUTURA 1 GERAÇÃO E COMERCIALIZAÇÃO DE ENERGIA SOLAR S.A.   ;15/10/2022;;
BAFFUT;BAFFUT0BCH4         ;BC 34P5 kV  9P5 Mvar COMPLEXO_FUTURA          H4 BA                     ;BCP;SUP;SUPERVISAO     ;SPE FUTURA 1 GERAÇÃO E COMERCIALIZAÇÃO DE ENERGIA SOLAR S.A.   ;15/10/2022;;
BAFLA ;BAFLA-0BCH2         ;BC 34P5 kV   30 Mvar FOLHA LARGA              H2 BA                     ;BCP;SUP;SUPERVISAO     ;PARQUE EOLICO VENTOS DE SAO JANUARIO 01 S.A.                   ;31/07/2020;04/09/2020;
BAFLA ;BAFLA-0H1           ;BC 34P5 kV   35 Mvar FOLHA LARGA              H1 BA                     ;BCP;SUP;SUPERVISAO     ;PARQUE EOLICO VENTOS DE SAO JANUARIO 01 S.A.                   ;31/07/2020;04/09/2020;
BAFLS ;BAFLS-0BCH2         ;BC 34P5 kV   10 Mvar FOLHA LARGA SUL          H2 BA                     ;BCP;SUP;SUPERVISAO     ;VENTOS DE SAO BENTO ENERGIAS RENOVAVEIS S.A                    ;30/06/2020;;
BAFLS ;BAFLS-0BCH3         ;BC 34P5 kV   10 Mvar FOLHA LARGA SUL          H3 BA                     ;BCP;SUP;SUPERVISAO     ;VENTOS DE SAO BENTO ENERGIAS RENOVAVEIS S.A                    ;30/06/2020;;
BAFLS ;BAFLS-0H1           ;BC 34P5 kV   10 Mvar FOLHA LARGA SUL          H1 BA                     ;BCP;SUP;SUPERVISAO     ;VENTOS DE SAO BENTO ENERGIAS RENOVAVEIS S.A                    ;30/06/2020;;
BAFNL ;BAFNL-0BC2          ;BC 13P8 kV  3P1 Mvar FUNIL                    H2 BA                     ;BCP;SIM;SIMULACAO      ;Companhia de Eletricidade do Estado da Bahia                   ;;31/12/1990;
BAFNL ;BAFNL-0BC3          ;BC 13P8 kV  3P1 Mvar FUNIL                    H3 BA                     ;BCP;SIM;SIMULACAO      ;Companhia de Eletricidade do Estado da Bahia                   ;;31/12/1990;
BAFNL ;BAFNL-2BC1          ;BC  230 kV 50P5 Mvar FUNIL                    H1 BA                     ;BCP;BAS;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;23/11/2001;
BAFNL ;BAFNL-2BC2          ;BC  230 kV 50P5 Mvar FUNIL                    H2 BA                     ;BCP;BAS;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;23/11/2001;14/11/2001;30/06/2001
BAFS3 ;BAFS3-0BC1          ;BC   69 kV   20 Mvar F. SANTANA III           H1 BA                     ;BCP;SUP;SUPERVISAO     ;FS TRANSMISSORA DE ENERGIA ELÉTRICA S.A.                       ;21/03/2022;23/10/2022;30/12/2020
BAGOI ;BAGOI-0BC1          ;BC 34P5 kV 5P06 Mvar GENTIO OURO I            F1 BA                     ;BCP;SUP;SUPERVISAO     ;ASSURUA 1 II ENERGIA S.A.                                      ;28/02/2016;05/04/2016;
BAGOI ;BAGOI-0BCC1         ;BC 34P5 kV 12P4 Mvar GENTIO OURO I            C1 BA                     ;BCP;SUP;SUPERVISAO     ;ASSURUA 1 II ENERGIA S.A.                                      ;30/04/2019;;
BAGOI ;BAGOI-0BCC2         ;BC 34P5 kV 12P4 Mvar GENTIO OURO I            C2 BA                     ;BCP;SUP;SUPERVISAO     ;ASSURUA 1 II ENERGIA S.A.                                      ;30/04/2019;;
BAGOI ;BAGOI-0BCF2         ;BC 34P5 kV 1P04 Mvar GENTIO OURO I            F2 BA                     ;BCP;SUP;SUPERVISAO     ;ASSURUA 1 II ENERGIA S.A.                                      ;28/02/2016;05/04/2016;
BAGPX ;BAGPX-0BCH1         ;BC 34P5 kV   19 Mvar GPEXPAN                  H1 BA                     ;BCP;SUP;SUPERVISAO     ;ACAUA ENERGIA S/A                                              ;15/06/2021;;
BAGPX ;BAGPX-0BCH2         ;BC 34P5 kV   19 Mvar GPEXPAN                  H2 BA                     ;BCP;SUP;SUPERVISAO     ;ACAUA ENERGIA S/A                                              ;15/06/2021;;
BAHRZ ;BAHZT-0BC1          ;BC 34P5 kV 13P5 Mvar HORIZONTE MP             H1 BA                     ;BCP;SUP;SUPERVISAO     ;ENEL GREEN POWER HORIZONTE MP SOLAR S.A.                       ;15/07/2018;;
BAHRZ ;BAHZT-0BCH2         ;BC 34P5 kV 13P5 Mvar HORIZONTE MP             H2 BA                     ;BCP;SUP;SUPERVISAO     ;ENEL GREEN POWER HORIZONTE MP SOLAR S.A.                       ;15/07/2018;;
BAIGD ;BAIGD-0BC2          ;BC   69 kV 21P3 Mvar IGAPORA II               H1 BA                     ;BCP;COM;COMPLEMENTAR   ;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/07/2014;04/07/2014;
BAIGD ;BAIGD-0BC3          ;BC   69 kV 21P3 Mvar IGAPORA II               H2 BA                     ;BCP;COM;COMPLEMENTAR   ;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/07/2014;04/07/2014;
BAIGD ;BAIGD-2BC1          ;BC  230 kV   50 Mvar IGAPORA II               H1 BA                     ;BCP;BAS;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;31/05/2014;22/06/2014;
BAITB3;BAITB32BC1          ;BC  230 kV   20 Mvar ITABUNA III              H1 BA                     ;BCP;BAS;BASICA         ;ARTEON Z3 ENERGIA S.A                                          ;25/02/2021;10/12/2021;
BAJCR ;BAJCR-0BC2          ;BC   69 kV 27P1 Mvar JACARACANGA              H2 BA                     ;BCP;SUP;SUPERVISAO     ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;31/12/1990;
BAJZS ;BAJZS-0BCH1         ;BC 34P5 kV   20 Mvar JUAZEIRO SOLAR           H1 BA                     ;BCP;SUP;SUPERVISAO     ;Central Fotovoltaica Juazeiro Solar I SPE Ltda                 ;30/11/2018;;
BAJZS ;BAJZS-0BCH2         ;BC 34P5 kV   20 Mvar JUAZEIRO SOLAR           H2 BA                     ;BCP;SUP;SUPERVISAO     ;Central Fotovoltaica Juazeiro Solar I SPE Ltda                 ;12/09/2021;;
BAJZS ;BAJZS-0BCH3         ;BC 34P5 kV   20 Mvar JUAZEIRO SOLAR           H3 BA                     ;BCP;SUP;SUPERVISAO     ;Central Fotovoltaica Juazeiro Solar I SPE Ltda                 ;12/09/2021;;
BALAP ;BALAP-0BC1          ;BC 34P5 kV 4P59 Mvar LAPA                      1 BA                     ;BCP;SUP;SUPERVISAO     ;NOVA OLINDA SUL SOLAR S.A.                                     ;31/10/2017;;
BALRA ;BALRA-0BCH1         ;BC 34P5 kV   36 Mvar LARANJEIRAS              H1 BA                     ;BCP;SUP;SUPERVISAO     ;PARQUE EÓLICO LARANJEIRAS III SA                               ;25/07/2022;;
BALRA ;BALRA-0BCH1--------1;BC 34P5 kV   26 Mvar LARANJEIRAS              H3 BA                     ;BCP;SUP;SUPERVISAO     ;PARQUE EÓLICO LARANJEIRAS III SA                               ;10/12/2022;;
BALRA ;BALRA-0BCH2         ;BC 34P5 kV   36 Mvar LARANJEIRAS              H2 BA                     ;BCP;SUP;SUPERVISAO     ;PARQUE EÓLICO LARANJEIRAS III SA                               ;25/07/2022;;
BALRA ;BALRA-0BCH2--------1;BC 34P5 kV   26 Mvar LARANJEIRAS              H4 BA                     ;BCP;SUP;SUPERVISAO     ;PARQUE EÓLICO LARANJEIRAS III SA                               ;10/12/2022;;
BAMCS ;BAMCS-0BC1          ;BC 34P5 kV   28 Mvar MORR CHAPEU SUL          H1 BA                     ;BCP;SUP;SUPERVISAO     ;Enel Green Power Morro do Chapéu I Eólica SA                   ;30/12/2018;;
BAMCS ;BAMCS-0BCH2         ;BC 34P5 kV   28 Mvar MORR CHAPEU SUL          H2 BA                     ;BCP;SUP;SUPERVISAO     ;Enel Green Power Morro do Chapéu I Eólica SA                   ;30/12/2018;;
BAMTT ;BAMTT-0BC1          ;BC   69 kV 27P1 Mvar MATATU                   H1 BA                     ;BCP;SUP;SUPERVISAO     ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;31/12/1990;
BANRD ;BANRD-0BC1          ;BC   69 kV 21P3 Mvar NARANDIBA                H1 BA                     ;BCP;SUP;SUPERVISAO     ;SE NARANDIBA S.A.                                              ;31/08/2011;06/06/2011;
BANRD ;BANRD-0BC2          ;BC   69 kV 21P3 Mvar NARANDIBA                H2 BA                     ;BCP;SUP;SUPERVISAO     ;SE NARANDIBA S.A.                                              ;31/08/2011;06/06/2011;
BACPBR;BAPBR-0BC1          ;BC 34P5 kV 3P24 Mvar PEDRA BRANCA             H1 BA                     ;BCP;SUP;SUPERVISAO     ;PEDRA BRANCA SA                                                ;31/03/2013;;
BACPBR;BAPBR-0BC2          ;BC 34P5 kV  6P0 Mvar PEDRA BRANCA             H2 BA                     ;BCP;SUP;SUPERVISAO     ;PEDRA BRANCA SA                                                ;30/09/2014;;
BACPBR;BAPBR-0BCH4         ;BC 34P5 kV   25 Mvar PEDRA BRANCA             H4 BA                     ;BCP;SUP;SUPERVISAO     ;PEDRA BRANCA SA                                                ;31/10/2016;05/11/2016;
BACPBR;BAPBR-0BCH5         ;BC 34P5 kV   25 Mvar PEDRA BRANCA             H5 BA                     ;BCP;SUP;SUPERVISAO     ;PEDRA BRANCA SA                                                ;31/10/2016;05/11/2016;
